2025-12-05 20:15:37,040 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:174] - INFO: 
Model training started for property: exp
2025-12-05 20:15:37,041 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:85] - INFO: 
+------------+--------------------+
| Parameter  | Value              |
+------------+--------------------+
| cuda       | 5                  |
+------------+--------------------+
| datadir    | data/Lipophilicity |
+------------+--------------------+
| epoch      | 1000               |
+------------+--------------------+
| seed       | [42]               |
+------------+--------------------+
| channels   | 64                 |
+------------+--------------------+
| heads      | 1                  |
+------------+--------------------+
| pretrain   | 0                  |
+------------+--------------------+
| batch_size | 32                 |
+------------+--------------------+
| net_lr     | 0.001              |
+------------+--------------------+
2025-12-05 20:15:37,042 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:179] - INFO: --- Starting training for exp with seed 42 ---
2025-12-05 20:15:39,226 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [1/1000] Train_MSE: 1.789657 Val_MSE: 1.895830 | Loss: 2.255939
2025-12-05 20:15:39,231 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:244] - INFO: Best model saved at epoch 1 with val_mse 1.895830
2025-12-05 20:15:40,140 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [2/1000] Train_MSE: 1.286202 Val_MSE: 1.467579 | Loss: 1.321539
2025-12-05 20:15:40,143 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:244] - INFO: Best model saved at epoch 2 with val_mse 1.467579
2025-12-05 20:15:41,054 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [3/1000] Train_MSE: 1.355062 Val_MSE: 1.518219 | Loss: 1.315187
2025-12-05 20:15:41,994 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [4/1000] Train_MSE: 1.369593 Val_MSE: 1.541647 | Loss: 1.296923
2025-12-05 20:15:42,919 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [5/1000] Train_MSE: 1.242051 Val_MSE: 1.443256 | Loss: 1.291664
2025-12-05 20:15:42,922 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:244] - INFO: Best model saved at epoch 5 with val_mse 1.443256
2025-12-05 20:15:44,030 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [6/1000] Train_MSE: 1.264252 Val_MSE: 1.441894 | Loss: 1.264790
2025-12-05 20:15:44,033 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:244] - INFO: Best model saved at epoch 6 with val_mse 1.441894
