2025-12-05 16:57:05,359 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:174] - INFO: 
Model training started for property: Density
2025-12-05 16:57:05,360 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:85] - INFO: 
+------------+--------------+
| Parameter  | Value        |
+------------+--------------+
| cuda       | 5            |
+------------+--------------+
| datadir    | data/NeurIPS |
+------------+--------------+
| epoch      | 1000         |
+------------+--------------+
| seed       | [42]         |
+------------+--------------+
| channels   | 64           |
+------------+--------------+
| heads      | 1            |
+------------+--------------+
| pretrain   | 0            |
+------------+--------------+
| batch_size | 32           |
+------------+--------------+
| net_lr     | 0.001        |
+------------+--------------+
2025-12-05 16:57:05,360 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:179] - INFO: --- Starting training for Density with seed 42 ---
2025-12-05 16:57:05,504 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [1/1000] Train_MSE: 0.552779 Val_MSE: 0.560010 | Loss: 0.664231
2025-12-05 16:57:05,507 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:244] - INFO: Best model saved at epoch 1 with val_mse 0.560010
2025-12-05 16:57:05,651 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [2/1000] Train_MSE: 0.030703 Val_MSE: 0.030232 | Loss: 0.094319
2025-12-05 16:57:05,653 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:244] - INFO: Best model saved at epoch 2 with val_mse 0.030232
2025-12-05 16:57:05,796 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [3/1000] Train_MSE: 0.051257 Val_MSE: 0.053419 | Loss: 0.032284
2025-12-05 16:57:05,947 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [4/1000] Train_MSE: 0.027828 Val_MSE: 0.031267 | Loss: 0.021643
2025-12-05 16:57:06,103 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [5/1000] Train_MSE: 0.033212 Val_MSE: 0.037864 | Loss: 0.016255
2025-12-05 16:57:06,245 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [6/1000] Train_MSE: 0.032786 Val_MSE: 0.034160 | Loss: 0.013799
2025-12-05 16:57:06,382 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [7/1000] Train_MSE: 0.024380 Val_MSE: 0.024717 | Loss: 0.013606
2025-12-05 16:57:06,385 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:244] - INFO: Best model saved at epoch 7 with val_mse 0.024717
2025-12-05 16:57:06,520 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [8/1000] Train_MSE: 0.009616 Val_MSE: 0.009669 | Loss: 0.013806
2025-12-05 16:57:06,522 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:244] - INFO: Best model saved at epoch 8 with val_mse 0.009669
2025-12-05 16:57:06,674 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [9/1000] Train_MSE: 0.014904 Val_MSE: 0.016156 | Loss: 0.012172
2025-12-05 16:57:06,814 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [10/1000] Train_MSE: 0.014535 Val_MSE: 0.015179 | Loss: 0.013038
2025-12-05 16:57:06,952 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [11/1000] Train_MSE: 0.011557 Val_MSE: 0.012861 | Loss: 0.011682
2025-12-05 16:57:07,092 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [12/1000] Train_MSE: 0.012137 Val_MSE: 0.012611 | Loss: 0.011922
2025-12-05 16:57:07,221 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [13/1000] Train_MSE: 0.008262 Val_MSE: 0.008060 | Loss: 0.010093
2025-12-05 16:57:07,223 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:244] - INFO: Best model saved at epoch 13 with val_mse 0.008060
2025-12-05 16:57:07,356 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [14/1000] Train_MSE: 0.013729 Val_MSE: 0.014067 | Loss: 0.012991
2025-12-05 16:57:07,493 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [15/1000] Train_MSE: 0.009716 Val_MSE: 0.009560 | Loss: 0.010867
2025-12-05 16:57:07,628 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [16/1000] Train_MSE: 0.009271 Val_MSE: 0.009472 | Loss: 0.010728
2025-12-05 16:57:07,762 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [17/1000] Train_MSE: 0.017684 Val_MSE: 0.018562 | Loss: 0.013914
