2025-12-05 16:55:51,557 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:174] - INFO: 
Model training started for property: Rg
2025-12-05 16:55:51,558 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:85] - INFO: 
+------------+--------------+
| Parameter  | Value        |
+------------+--------------+
| cuda       | 5            |
+------------+--------------+
| datadir    | data/NeurIPS |
+------------+--------------+
| epoch      | 1000         |
+------------+--------------+
| seed       | [42]         |
+------------+--------------+
| channels   | 64           |
+------------+--------------+
| heads      | 1            |
+------------+--------------+
| pretrain   | 0            |
+------------+--------------+
| batch_size | 32           |
+------------+--------------+
| net_lr     | 0.001        |
+------------+--------------+
2025-12-05 16:55:51,559 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:179] - INFO: --- Starting training for Rg with seed 42 ---
2025-12-05 16:55:52,784 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [1/1000] Train_MSE: 279.691991 Val_MSE: 280.398745 | Loss: 283.417940
2025-12-05 16:55:52,787 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:244] - INFO: Best model saved at epoch 1 with val_mse 280.398745
2025-12-05 16:55:52,921 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [2/1000] Train_MSE: 242.721836 Val_MSE: 243.695390 | Loss: 249.534387
2025-12-05 16:55:52,923 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:244] - INFO: Best model saved at epoch 2 with val_mse 243.695390
2025-12-05 16:55:53,057 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [3/1000] Train_MSE: 171.248811 Val_MSE: 173.535946 | Loss: 155.950224
2025-12-05 16:55:53,059 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:244] - INFO: Best model saved at epoch 3 with val_mse 173.535946
2025-12-05 16:55:53,226 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [4/1000] Train_MSE: 76.085269 Val_MSE: 80.345244 | Loss: 46.272673
2025-12-05 16:55:53,228 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:244] - INFO: Best model saved at epoch 4 with val_mse 80.345244
2025-12-05 16:55:53,438 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [5/1000] Train_MSE: 30.337654 Val_MSE: 30.956118 | Loss: 22.653825
2025-12-05 16:55:53,442 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:244] - INFO: Best model saved at epoch 5 with val_mse 30.956118
2025-12-05 16:55:53,598 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [6/1000] Train_MSE: 28.023209 Val_MSE: 29.817820 | Loss: 19.570617
2025-12-05 16:55:53,601 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:244] - INFO: Best model saved at epoch 6 with val_mse 29.817820
2025-12-05 16:55:53,750 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [7/1000] Train_MSE: 26.572923 Val_MSE: 29.526292 | Loss: 18.325941
2025-12-05 16:55:53,753 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:244] - INFO: Best model saved at epoch 7 with val_mse 29.526292
2025-12-05 16:55:53,889 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [8/1000] Train_MSE: 21.412345 Val_MSE: 23.331204 | Loss: 18.750486
2025-12-05 16:55:53,892 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:244] - INFO: Best model saved at epoch 8 with val_mse 23.331204
2025-12-05 16:55:54,030 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [9/1000] Train_MSE: 21.929582 Val_MSE: 24.149640 | Loss: 17.778858
2025-12-05 16:55:54,163 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [10/1000] Train_MSE: 18.704776 Val_MSE: 20.611440 | Loss: 18.014636
2025-12-05 16:55:54,166 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:244] - INFO: Best model saved at epoch 10 with val_mse 20.611440
2025-12-05 16:55:54,306 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [11/1000] Train_MSE: 16.555748 Val_MSE: 18.651398 | Loss: 17.049539
2025-12-05 16:55:54,308 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:244] - INFO: Best model saved at epoch 11 with val_mse 18.651398
2025-12-05 16:55:54,445 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [12/1000] Train_MSE: 16.936164 Val_MSE: 18.622574 | Loss: 15.859630
2025-12-05 16:55:54,447 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:244] - INFO: Best model saved at epoch 12 with val_mse 18.622574
2025-12-05 16:55:54,581 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [13/1000] Train_MSE: 17.245000 Val_MSE: 18.908702 | Loss: 16.118593
2025-12-05 16:55:54,720 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [14/1000] Train_MSE: 17.887873 Val_MSE: 20.063514 | Loss: 17.094662
2025-12-05 16:55:54,856 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [15/1000] Train_MSE: 16.450543 Val_MSE: 18.615965 | Loss: 16.677914
2025-12-05 16:55:54,859 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:244] - INFO: Best model saved at epoch 15 with val_mse 18.615965
2025-12-05 16:55:55,005 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [16/1000] Train_MSE: 16.800445 Val_MSE: 19.189939 | Loss: 16.314091
2025-12-05 16:55:55,144 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [17/1000] Train_MSE: 16.746227 Val_MSE: 18.948615 | Loss: 16.853448
2025-12-05 16:55:55,293 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [18/1000] Train_MSE: 16.555585 Val_MSE: 18.660870 | Loss: 16.406700
2025-12-05 16:55:55,431 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [19/1000] Train_MSE: 16.027470 Val_MSE: 17.979623 | Loss: 15.764547
2025-12-05 16:55:55,433 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:244] - INFO: Best model saved at epoch 19 with val_mse 17.979623
2025-12-05 16:55:55,578 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [20/1000] Train_MSE: 18.696376 Val_MSE: 20.811846 | Loss: 17.578226
2025-12-05 16:55:55,717 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [21/1000] Train_MSE: 16.050236 Val_MSE: 18.010678 | Loss: 17.682807
2025-12-05 16:55:55,859 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [22/1000] Train_MSE: 19.129854 Val_MSE: 21.225202 | Loss: 16.535040
2025-12-05 16:55:56,001 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [23/1000] Train_MSE: 18.355401 Val_MSE: 20.879606 | Loss: 16.869780
2025-12-05 16:55:56,138 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [24/1000] Train_MSE: 15.441654 Val_MSE: 17.490209 | Loss: 17.420284
2025-12-05 16:55:56,140 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:244] - INFO: Best model saved at epoch 24 with val_mse 17.490209
2025-12-05 16:55:56,275 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [25/1000] Train_MSE: 15.308224 Val_MSE: 17.366802 | Loss: 15.643483
2025-12-05 16:55:56,278 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:244] - INFO: Best model saved at epoch 25 with val_mse 17.366802
2025-12-05 16:55:56,415 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [26/1000] Train_MSE: 17.414636 Val_MSE: 19.467034 | Loss: 16.380423
2025-12-05 16:55:56,552 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [27/1000] Train_MSE: 16.474994 Val_MSE: 18.459565 | Loss: 15.110373
2025-12-05 16:55:56,696 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [28/1000] Train_MSE: 15.516749 Val_MSE: 17.266703 | Loss: 16.801204
2025-12-05 16:55:56,698 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:244] - INFO: Best model saved at epoch 28 with val_mse 17.266703
2025-12-05 16:55:56,835 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [29/1000] Train_MSE: 14.566461 Val_MSE: 16.887141 | Loss: 15.324886
2025-12-05 16:55:56,838 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:244] - INFO: Best model saved at epoch 29 with val_mse 16.887141
2025-12-05 16:55:56,974 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [30/1000] Train_MSE: 16.726964 Val_MSE: 18.767609 | Loss: 15.344477
2025-12-05 16:55:57,118 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [31/1000] Train_MSE: 19.483241 Val_MSE: 21.761710 | Loss: 15.007120
2025-12-05 16:55:57,262 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [32/1000] Train_MSE: 17.628838 Val_MSE: 19.974290 | Loss: 14.500826
2025-12-05 16:55:57,407 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [33/1000] Train_MSE: 17.048246 Val_MSE: 19.140850 | Loss: 14.831016
2025-12-05 16:55:57,582 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [34/1000] Train_MSE: 16.516272 Val_MSE: 18.475377 | Loss: 14.897816
2025-12-05 16:55:57,750 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [35/1000] Train_MSE: 14.046387 Val_MSE: 15.989534 | Loss: 13.826778
2025-12-05 16:55:57,753 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:244] - INFO: Best model saved at epoch 35 with val_mse 15.989534
2025-12-05 16:55:57,910 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [36/1000] Train_MSE: 17.370981 Val_MSE: 19.522657 | Loss: 14.210961
2025-12-05 16:55:58,052 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [37/1000] Train_MSE: 19.328169 Val_MSE: 21.331734 | Loss: 15.184535
2025-12-05 16:55:58,188 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [38/1000] Train_MSE: 13.218630 Val_MSE: 15.729540 | Loss: 14.550801
2025-12-05 16:55:58,191 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:244] - INFO: Best model saved at epoch 38 with val_mse 15.729540
2025-12-05 16:55:58,347 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [39/1000] Train_MSE: 14.776478 Val_MSE: 16.339933 | Loss: 15.072166
2025-12-05 16:55:58,480 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [40/1000] Train_MSE: 14.725309 Val_MSE: 16.739083 | Loss: 13.661900
2025-12-05 16:55:58,626 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [41/1000] Train_MSE: 19.152831 Val_MSE: 21.394129 | Loss: 13.534181
2025-12-05 16:55:58,778 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [42/1000] Train_MSE: 16.236401 Val_MSE: 18.338048 | Loss: 13.102535
2025-12-05 16:55:58,911 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [43/1000] Train_MSE: 12.963303 Val_MSE: 14.717617 | Loss: 13.207062
2025-12-05 16:55:58,913 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:244] - INFO: Best model saved at epoch 43 with val_mse 14.717617
2025-12-05 16:55:59,066 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [44/1000] Train_MSE: 12.566273 Val_MSE: 14.769344 | Loss: 13.973865
2025-12-05 16:55:59,202 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [45/1000] Train_MSE: 13.249700 Val_MSE: 15.474275 | Loss: 13.167861
2025-12-05 16:55:59,342 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [46/1000] Train_MSE: 13.027312 Val_MSE: 14.815056 | Loss: 13.793426
2025-12-05 16:55:59,490 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [47/1000] Train_MSE: 13.007466 Val_MSE: 14.914629 | Loss: 14.081429
2025-12-05 16:55:59,622 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [48/1000] Train_MSE: 14.404755 Val_MSE: 16.510633 | Loss: 13.552056
2025-12-05 16:55:59,762 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [49/1000] Train_MSE: 14.731793 Val_MSE: 16.638547 | Loss: 12.762455
2025-12-05 16:55:59,909 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [50/1000] Train_MSE: 12.664669 Val_MSE: 14.675045 | Loss: 12.311643
2025-12-05 16:55:59,912 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:244] - INFO: Best model saved at epoch 50 with val_mse 14.675045
2025-12-05 16:56:00,045 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [51/1000] Train_MSE: 14.735438 Val_MSE: 16.793816 | Loss: 11.613437
2025-12-05 16:56:00,201 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [52/1000] Train_MSE: 12.500052 Val_MSE: 14.563151 | Loss: 12.577355
2025-12-05 16:56:00,204 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:244] - INFO: Best model saved at epoch 52 with val_mse 14.563151
2025-12-05 16:56:00,349 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [53/1000] Train_MSE: 13.623801 Val_MSE: 15.648044 | Loss: 12.497310
2025-12-05 16:56:00,500 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [54/1000] Train_MSE: 12.843852 Val_MSE: 15.738983 | Loss: 13.381721
2025-12-05 16:56:00,640 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [55/1000] Train_MSE: 13.376855 Val_MSE: 15.184950 | Loss: 12.970444
2025-12-05 16:56:00,786 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [56/1000] Train_MSE: 12.083115 Val_MSE: 13.719729 | Loss: 13.101809
2025-12-05 16:56:00,788 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:244] - INFO: Best model saved at epoch 56 with val_mse 13.719729
2025-12-05 16:56:00,924 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [57/1000] Train_MSE: 13.682355 Val_MSE: 15.723833 | Loss: 12.423871
2025-12-05 16:56:01,066 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [58/1000] Train_MSE: 10.945530 Val_MSE: 13.265708 | Loss: 13.522118
2025-12-05 16:56:01,068 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:244] - INFO: Best model saved at epoch 58 with val_mse 13.265708
2025-12-05 16:56:01,196 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [59/1000] Train_MSE: 16.151429 Val_MSE: 17.651687 | Loss: 13.004244
2025-12-05 16:56:01,329 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [60/1000] Train_MSE: 10.896123 Val_MSE: 13.957900 | Loss: 13.870960
2025-12-05 16:56:01,480 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [61/1000] Train_MSE: 21.989381 Val_MSE: 24.741763 | Loss: 14.283204
2025-12-05 16:56:01,635 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [62/1000] Train_MSE: 12.541555 Val_MSE: 14.163291 | Loss: 13.401817
2025-12-05 16:56:01,787 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [63/1000] Train_MSE: 13.159187 Val_MSE: 15.020118 | Loss: 13.747482
2025-12-05 16:56:01,954 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:234] - INFO: Epoch [64/1000] Train_MSE: 11.286823 Val_MSE: 12.740524 | Loss: 12.356437
2025-12-05 16:56:01,957 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GAT.py[line:244] - INFO: Best model saved at epoch 64 with val_mse 12.740524
