2025-12-05 20:15:47,130 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:166] - INFO: 
Model training started for property: exp
2025-12-05 20:15:47,130 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:78] - INFO: 
+------------+--------------------+
| Parameter  | Value              |
+------------+--------------------+
| cuda       | 3                  |
+------------+--------------------+
| datadir    | data/Lipophilicity |
+------------+--------------------+
| epoch      | 1000               |
+------------+--------------------+
| seed       | [42]               |
+------------+--------------------+
| channels   | 64                 |
+------------+--------------------+
| pretrain   | 0                  |
+------------+--------------------+
| batch_size | 32                 |
+------------+--------------------+
| net_lr     | 0.001              |
+------------+--------------------+
2025-12-05 20:15:47,131 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:171] - INFO: --- Starting training for exp with seed 42 ---
2025-12-05 20:15:48,680 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [1/1000] Train_MSE: 1.583508 Val_MSE: 1.776843 | Loss: 1.868678
2025-12-05 20:15:48,683 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:236] - INFO: Best model saved at epoch 1 with val_mse 1.776843
2025-12-05 20:15:49,253 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [2/1000] Train_MSE: 1.313226 Val_MSE: 1.456538 | Loss: 1.282323
2025-12-05 20:15:49,256 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:236] - INFO: Best model saved at epoch 2 with val_mse 1.456538
2025-12-05 20:15:49,812 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [3/1000] Train_MSE: 1.525706 Val_MSE: 1.637367 | Loss: 1.222040
2025-12-05 20:15:50,369 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [4/1000] Train_MSE: 1.336043 Val_MSE: 1.534638 | Loss: 1.215441
2025-12-05 20:15:50,926 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [5/1000] Train_MSE: 1.151120 Val_MSE: 1.306887 | Loss: 1.196952
2025-12-05 20:15:50,928 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:236] - INFO: Best model saved at epoch 5 with val_mse 1.306887
2025-12-05 20:15:51,484 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [6/1000] Train_MSE: 1.143317 Val_MSE: 1.283008 | Loss: 1.156996
2025-12-05 20:15:51,487 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:236] - INFO: Best model saved at epoch 6 with val_mse 1.283008
