2025-12-05 16:57:47,781 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:166] - INFO: 
Model training started for property: FFV
2025-12-05 16:57:47,782 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:78] - INFO: 
+------------+--------------+
| Parameter  | Value        |
+------------+--------------+
| cuda       | 3            |
+------------+--------------+
| datadir    | data/NeurIPS |
+------------+--------------+
| epoch      | 1000         |
+------------+--------------+
| seed       | [42]         |
+------------+--------------+
| channels   | 64           |
+------------+--------------+
| pretrain   | 0            |
+------------+--------------+
| batch_size | 32           |
+------------+--------------+
| net_lr     | 0.001        |
+------------+--------------+
2025-12-05 16:57:47,782 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:171] - INFO: --- Starting training for FFV with seed 42 ---
2025-12-05 16:57:48,763 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [1/1000] Train_MSE: 0.000574 Val_MSE: 0.000695 | Loss: 0.004630
2025-12-05 16:57:48,766 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:236] - INFO: Best model saved at epoch 1 with val_mse 0.000695
2025-12-05 16:57:49,765 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [2/1000] Train_MSE: 0.001071 Val_MSE: 0.001140 | Loss: 0.000746
2025-12-05 16:57:50,733 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [3/1000] Train_MSE: 0.001247 Val_MSE: 0.001329 | Loss: 0.000683
2025-12-05 16:57:51,697 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [4/1000] Train_MSE: 0.000428 Val_MSE: 0.000513 | Loss: 0.000523
2025-12-05 16:57:51,699 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:236] - INFO: Best model saved at epoch 4 with val_mse 0.000513
2025-12-05 16:57:52,804 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [5/1000] Train_MSE: 0.000407 Val_MSE: 0.000524 | Loss: 0.000482
2025-12-05 16:57:53,873 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [6/1000] Train_MSE: 0.000300 Val_MSE: 0.000391 | Loss: 0.000505
2025-12-05 16:57:53,876 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:236] - INFO: Best model saved at epoch 6 with val_mse 0.000391
2025-12-05 16:57:54,941 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [7/1000] Train_MSE: 0.000354 Val_MSE: 0.000447 | Loss: 0.000433
2025-12-05 16:57:55,951 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [8/1000] Train_MSE: 0.000499 Val_MSE: 0.000579 | Loss: 0.000398
2025-12-05 16:57:56,932 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [9/1000] Train_MSE: 0.000283 Val_MSE: 0.000373 | Loss: 0.000373
2025-12-05 16:57:56,935 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:236] - INFO: Best model saved at epoch 9 with val_mse 0.000373
2025-12-05 16:57:57,898 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [10/1000] Train_MSE: 0.001054 Val_MSE: 0.001120 | Loss: 0.000368
2025-12-05 16:57:58,891 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [11/1000] Train_MSE: 0.000264 Val_MSE: 0.000345 | Loss: 0.000351
2025-12-05 16:57:58,894 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:236] - INFO: Best model saved at epoch 11 with val_mse 0.000345
2025-12-05 16:57:59,872 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [12/1000] Train_MSE: 0.000645 Val_MSE: 0.000717 | Loss: 0.000323
2025-12-05 16:58:00,934 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [13/1000] Train_MSE: 0.000325 Val_MSE: 0.000408 | Loss: 0.000342
2025-12-05 16:58:01,958 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [14/1000] Train_MSE: 0.000317 Val_MSE: 0.000396 | Loss: 0.000328
2025-12-05 16:58:02,955 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [15/1000] Train_MSE: 0.000291 Val_MSE: 0.000374 | Loss: 0.000304
2025-12-05 16:58:03,912 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [16/1000] Train_MSE: 0.000694 Val_MSE: 0.000759 | Loss: 0.000283
2025-12-05 16:58:04,818 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [17/1000] Train_MSE: 0.000274 Val_MSE: 0.000331 | Loss: 0.000292
2025-12-05 16:58:04,821 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:236] - INFO: Best model saved at epoch 17 with val_mse 0.000331
2025-12-05 16:58:05,827 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [18/1000] Train_MSE: 0.000277 Val_MSE: 0.000345 | Loss: 0.000309
2025-12-05 16:58:06,755 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [19/1000] Train_MSE: 0.000263 Val_MSE: 0.000328 | Loss: 0.000292
2025-12-05 16:58:06,758 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:236] - INFO: Best model saved at epoch 19 with val_mse 0.000328
2025-12-05 16:58:07,717 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [20/1000] Train_MSE: 0.000288 Val_MSE: 0.000351 | Loss: 0.000276
2025-12-05 16:58:08,823 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [21/1000] Train_MSE: 0.000310 Val_MSE: 0.000379 | Loss: 0.000289
2025-12-05 16:58:09,822 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [22/1000] Train_MSE: 0.000256 Val_MSE: 0.000322 | Loss: 0.000305
2025-12-05 16:58:09,825 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:236] - INFO: Best model saved at epoch 22 with val_mse 0.000322
2025-12-05 16:58:10,891 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [23/1000] Train_MSE: 0.000371 Val_MSE: 0.000433 | Loss: 0.000299
2025-12-05 16:58:11,890 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [24/1000] Train_MSE: 0.000218 Val_MSE: 0.000278 | Loss: 0.000267
2025-12-05 16:58:11,893 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:236] - INFO: Best model saved at epoch 24 with val_mse 0.000278
2025-12-05 16:58:12,908 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [25/1000] Train_MSE: 0.000419 Val_MSE: 0.000471 | Loss: 0.000274
