2025-12-05 16:55:59,982 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:166] - INFO: 
Model training started for property: Rg
2025-12-05 16:55:59,982 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:78] - INFO: 
+------------+--------------+
| Parameter  | Value        |
+------------+--------------+
| cuda       | 3            |
+------------+--------------+
| datadir    | data/NeurIPS |
+------------+--------------+
| epoch      | 1000         |
+------------+--------------+
| seed       | [42]         |
+------------+--------------+
| channels   | 64           |
+------------+--------------+
| pretrain   | 0            |
+------------+--------------+
| batch_size | 32           |
+------------+--------------+
| net_lr     | 0.001        |
+------------+--------------+
2025-12-05 16:55:59,983 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:171] - INFO: --- Starting training for Rg with seed 42 ---
2025-12-05 16:56:01,086 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [1/1000] Train_MSE: 278.421502 Val_MSE: 279.120406 | Loss: 270.181236
2025-12-05 16:56:01,090 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:236] - INFO: Best model saved at epoch 1 with val_mse 279.120406
2025-12-05 16:56:01,178 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [2/1000] Train_MSE: 248.877984 Val_MSE: 250.248696 | Loss: 210.182711
2025-12-05 16:56:01,180 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:236] - INFO: Best model saved at epoch 2 with val_mse 250.248696
2025-12-05 16:56:01,279 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [3/1000] Train_MSE: 133.637006 Val_MSE: 137.551649 | Loss: 88.901660
2025-12-05 16:56:01,283 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:236] - INFO: Best model saved at epoch 3 with val_mse 137.551649
2025-12-05 16:56:01,374 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [4/1000] Train_MSE: 45.320848 Val_MSE: 46.872125 | Loss: 23.814378
2025-12-05 16:56:01,376 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:236] - INFO: Best model saved at epoch 4 with val_mse 46.872125
2025-12-05 16:56:01,460 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [5/1000] Train_MSE: 18.118275 Val_MSE: 20.309801 | Loss: 18.768378
2025-12-05 16:56:01,463 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:236] - INFO: Best model saved at epoch 5 with val_mse 20.309801
2025-12-05 16:56:01,546 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [6/1000] Train_MSE: 17.426093 Val_MSE: 20.088692 | Loss: 17.811901
2025-12-05 16:56:01,548 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:236] - INFO: Best model saved at epoch 6 with val_mse 20.088692
2025-12-05 16:56:01,639 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [7/1000] Train_MSE: 15.577097 Val_MSE: 18.242457 | Loss: 16.363981
2025-12-05 16:56:01,641 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:236] - INFO: Best model saved at epoch 7 with val_mse 18.242457
