2025-12-05 17:01:50,860 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:166] - INFO: 
Model training started for property: Tc
2025-12-05 17:01:50,860 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:78] - INFO: 
+------------+--------------+
| Parameter  | Value        |
+------------+--------------+
| cuda       | 3            |
+------------+--------------+
| datadir    | data/NeurIPS |
+------------+--------------+
| epoch      | 1000         |
+------------+--------------+
| seed       | [42]         |
+------------+--------------+
| channels   | 64           |
+------------+--------------+
| pretrain   | 0            |
+------------+--------------+
| batch_size | 32           |
+------------+--------------+
| net_lr     | 0.001        |
+------------+--------------+
2025-12-05 17:01:50,861 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:171] - INFO: --- Starting training for Tc with seed 42 ---
2025-12-05 17:01:50,965 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [1/1000] Train_MSE: 0.040197 Val_MSE: 0.041239 | Loss: 0.019865
2025-12-05 17:01:50,968 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:236] - INFO: Best model saved at epoch 1 with val_mse 0.041239
2025-12-05 17:01:51,066 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [2/1000] Train_MSE: 0.029159 Val_MSE: 0.030184 | Loss: 0.005227
2025-12-05 17:01:51,069 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:236] - INFO: Best model saved at epoch 2 with val_mse 0.030184
2025-12-05 17:01:51,171 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [3/1000] Train_MSE: 0.020052 Val_MSE: 0.021037 | Loss: 0.003088
2025-12-05 17:01:51,173 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:236] - INFO: Best model saved at epoch 3 with val_mse 0.021037
2025-12-05 17:01:51,276 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [4/1000] Train_MSE: 0.006935 Val_MSE: 0.007752 | Loss: 0.002550
2025-12-05 17:01:51,279 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:236] - INFO: Best model saved at epoch 4 with val_mse 0.007752
2025-12-05 17:01:51,380 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [5/1000] Train_MSE: 0.002188 Val_MSE: 0.002826 | Loss: 0.002456
2025-12-05 17:01:51,383 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:236] - INFO: Best model saved at epoch 5 with val_mse 0.002826
2025-12-05 17:01:51,485 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [6/1000] Train_MSE: 0.003213 Val_MSE: 0.004120 | Loss: 0.002484
2025-12-05 17:01:51,586 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [7/1000] Train_MSE: 0.001668 Val_MSE: 0.002473 | Loss: 0.002277
2025-12-05 17:01:51,588 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:236] - INFO: Best model saved at epoch 7 with val_mse 0.002473
2025-12-05 17:01:51,688 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [8/1000] Train_MSE: 0.001657 Val_MSE: 0.002466 | Loss: 0.002091
2025-12-05 17:01:51,691 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:236] - INFO: Best model saved at epoch 8 with val_mse 0.002466
2025-12-05 17:01:51,791 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [9/1000] Train_MSE: 0.001609 Val_MSE: 0.002427 | Loss: 0.002216
2025-12-05 17:01:51,793 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:236] - INFO: Best model saved at epoch 9 with val_mse 0.002427
2025-12-05 17:01:51,897 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [10/1000] Train_MSE: 0.001606 Val_MSE: 0.002429 | Loss: 0.002294
2025-12-05 17:01:52,002 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [11/1000] Train_MSE: 0.001890 Val_MSE: 0.002769 | Loss: 0.002058
2025-12-05 17:01:52,102 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [12/1000] Train_MSE: 0.003232 Val_MSE: 0.003955 | Loss: 0.001996
2025-12-05 17:01:52,201 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [13/1000] Train_MSE: 0.003819 Val_MSE: 0.004536 | Loss: 0.002261
