2025-12-05 16:56:31,757 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:166] - INFO: 
Model training started for property: Tg
2025-12-05 16:56:31,758 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:78] - INFO: 
+------------+--------------+
| Parameter  | Value        |
+------------+--------------+
| cuda       | 3            |
+------------+--------------+
| datadir    | data         |
+------------+--------------+
| epoch      | 1000         |
+------------+--------------+
| seed       | [42]         |
+------------+--------------+
| channels   | 64           |
+------------+--------------+
| pretrain   | 0            |
+------------+--------------+
| batch_size | 32           |
+------------+--------------+
| net_lr     | 0.001        |
+------------+--------------+
2025-12-05 16:56:31,758 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:171] - INFO: --- Starting training for Tg with seed 42 ---
2025-12-05 16:56:31,839 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [1/1000] Train_MSE: 21752.147426 Val_MSE: 19478.566870 | Loss: 21698.473730
2025-12-05 16:56:31,841 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:236] - INFO: Best model saved at epoch 1 with val_mse 19478.566870
2025-12-05 16:56:31,916 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [2/1000] Train_MSE: 21625.738992 Val_MSE: 19369.838258 | Loss: 21291.208984
2025-12-05 16:56:31,919 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:236] - INFO: Best model saved at epoch 2 with val_mse 19369.838258
2025-12-05 16:56:32,000 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [3/1000] Train_MSE: 21176.803234 Val_MSE: 18987.343421 | Loss: 21686.258203
2025-12-05 16:56:32,003 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:236] - INFO: Best model saved at epoch 3 with val_mse 18987.343421
2025-12-05 16:56:32,087 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [4/1000] Train_MSE: 19697.325397 Val_MSE: 17741.681950 | Loss: 19661.415918
2025-12-05 16:56:32,090 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:236] - INFO: Best model saved at epoch 4 with val_mse 17741.681950
2025-12-05 16:56:32,166 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [5/1000] Train_MSE: 16736.667149 Val_MSE: 15300.105082 | Loss: 17264.274414
2025-12-05 16:56:32,168 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:236] - INFO: Best model saved at epoch 5 with val_mse 15300.105082
2025-12-05 16:56:32,247 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [6/1000] Train_MSE: 11216.462079 Val_MSE: 11033.932076 | Loss: 14126.266211
2025-12-05 16:56:32,249 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:236] - INFO: Best model saved at epoch 6 with val_mse 11033.932076
2025-12-05 16:56:32,339 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [7/1000] Train_MSE: 11926.544477 Val_MSE: 13593.425994 | Loss: 11182.089453
2025-12-05 16:56:32,415 - /home/kantorkristof/git/neurips-polymer/II_Experiment-Molecule/GNN/GCN.py[line:226] - INFO: Epoch [8/1000] Train_MSE: 23748.562039 Val_MSE: 25785.815304 | Loss: 8211.772217
